2024-10-26 11:13:02.858607,511
2024-10-26 11:13:02.858980,524
2024-10-26 11:13:02.862693,533
2024-10-26 11:13:02.862976,519
2024-10-26 11:13:02.866807,525
2024-10-26 11:13:02.867100,520
2024-10-26 11:13:02.870848,497
2024-10-26 11:13:02.871133,511
2024-10-26 11:13:02.874759,548
2024-10-26 11:13:02.875066,559
2024-10-26 11:13:02.875193,547
2024-10-26 11:13:02.879087,540
2024-10-26 11:13:02.879369,549
2024-10-26 11:13:02.883124,530
2024-10-26 11:13:02.883330,537
2024-10-26 11:13:02.887364,532
2024-10-26 11:13:02.887654,543
2024-10-26 11:13:02.891030,566
2024-10-26 11:13:02.891333,547
2024-10-26 11:13:02.895570,531
2024-10-26 11:13:02.895855,525
2024-10-26 11:13:02.899592,546
2024-10-26 11:13:02.899878,546
2024-10-26 11:13:02.903241,550
2024-10-26 11:13:02.903464,549
2024-10-26 11:13:02.907738,534
2024-10-26 11:13:02.908106,539
2024-10-26 11:13:02.911380,556
2024-10-26 11:13:02.911608,562
2024-10-26 11:13:02.915401,559
2024-10-26 11:13:02.915795,557
2024-10-26 11:13:02.916001,555
2024-10-26 11:13:02.919485,528
2024-10-26 11:13:02.919646,511
2024-10-26 11:13:02.923607,510
2024-10-26 11:13:02.923855,513
2024-10-26 11:13:02.927707,510
2024-10-26 11:13:02.927959,530
2024-10-26 11:13:02.931799,530
2024-10-26 11:13:02.932045,529
2024-10-26 11:13:02.936236,535
2024-10-26 11:13:02.936520,531
2024-10-26 11:13:02.940288,523
2024-10-26 11:13:02.940764,509
2024-10-26 11:13:02.944311,519
2024-10-26 11:13:02.944596,502
2024-10-26 11:13:02.948583,513
2024-10-26 11:13:02.948975,527
2024-10-26 11:13:02.952806,519
2024-10-26 11:13:02.953100,512
2024-10-26 11:13:02.956536,518
2024-10-26 11:13:02.956741,517
2024-10-26 11:13:02.960396,503
2024-10-26 11:13:02.960660,523
2024-10-26 11:13:02.960869,540
2024-10-26 11:13:02.964595,536
2024-10-26 11:13:02.964825,542
2024-10-26 11:13:02.968747,542
2024-10-26 11:13:02.969018,522
2024-10-26 11:13:02.973284,498
2024-10-26 11:13:02.973569,483
2024-10-26 11:13:02.977309,518
2024-10-26 11:13:02.977518,526
2024-10-26 11:13:02.981223,512
2024-10-26 11:13:02.981500,511
2024-10-26 11:13:02.985349,508
2024-10-26 11:13:02.985635,491
2024-10-26 11:13:02.989432,507
2024-10-26 11:13:02.989723,531
2024-10-26 11:13:02.993754,515
2024-10-26 11:13:02.994040,510
2024-10-26 11:13:02.997963,518
2024-10-26 11:13:02.998192,529
2024-10-26 11:13:03.002087,523
2024-10-26 11:13:03.002388,529
2024-10-26 11:13:03.005446,533
2024-10-26 11:13:03.005721,533
2024-10-26 11:13:03.005921,516
2024-10-26 11:13:03.009707,526
2024-10-26 11:13:03.009932,539
2024-10-26 11:13:03.013699,532
2024-10-26 11:13:03.013845,512
2024-10-26 11:13:03.017903,508
2024-10-26 11:13:03.018129,503
2024-10-26 11:13:03.022450,532
2024-10-26 11:13:03.022736,558
2024-10-26 11:13:03.026467,530
2024-10-26 11:13:03.026674,521
2024-10-26 11:13:03.030645,531
2024-10-26 11:13:03.030933,534
2024-10-26 11:13:03.034850,531
2024-10-26 11:13:03.035133,537
2024-10-26 11:13:03.038886,533
2024-10-26 11:13:03.039175,545
2024-10-26 11:13:03.043168,548
2024-10-26 11:13:03.043520,541
2024-10-26 11:13:03.046512,525
2024-10-26 11:13:03.046737,534
2024-10-26 11:13:03.046866,542
2024-10-26 11:13:03.051130,537
2024-10-26 11:13:03.051423,533
2024-10-26 11:13:03.055220,523
2024-10-26 11:13:03.055503,557
2024-10-26 11:13:03.059239,584
2024-10-26 11:13:03.059617,561
2024-10-26 11:13:03.063340,563
2024-10-26 11:13:03.063545,553
2024-10-26 11:13:03.067083,541
2024-10-26 11:13:03.067304,525
2024-10-26 11:13:03.071159,562
2024-10-26 11:13:03.071386,571
2024-10-26 11:13:03.075253,543
2024-10-26 11:13:03.075495,531
2024-10-26 11:13:03.079208,529
2024-10-26 11:13:03.079428,514
2024-10-26 11:13:03.083991,507
2024-10-26 11:13:03.084278,481
2024-10-26 11:13:03.087949,461
2024-10-26 11:13:03.088234,460
2024-10-26 11:13:03.091853,476
2024-10-26 11:13:03.092233,465
2024-10-26 11:13:03.092429,446
2024-10-26 11:13:03.096186,465
2024-10-26 11:13:03.096470,471
2024-10-26 11:13:03.100271,457
2024-10-26 11:13:03.100557,460
2024-10-26 11:13:03.104349,483
2024-10-26 11:13:03.104647,493
2024-10-26 11:13:03.108471,481
2024-10-26 11:13:03.108682,484
2024-10-26 11:13:03.112563,486
2024-10-26 11:13:03.112846,486
2024-10-26 11:13:03.116616,510
2024-10-26 11:13:03.116823,533
2024-10-26 11:13:03.121088,542
2024-10-26 11:13:03.121465,528
2024-10-26 11:13:03.124866,505
2024-10-26 11:13:03.125150,498
2024-10-26 11:13:03.128931,484
2024-10-26 11:13:03.129218,486
2024-10-26 11:13:03.132973,484
2024-10-26 11:13:03.133257,504
2024-10-26 11:13:03.133771,504
2024-10-26 11:13:03.136712,494
2024-10-26 11:13:03.136948,479
2024-10-26 11:13:03.141124,474
2024-10-26 11:13:03.141334,476
2024-10-26 11:13:03.145225,483
2024-10-26 11:13:03.145839,489
2024-10-26 11:13:03.149319,489
2024-10-26 11:13:03.149529,477
2024-10-26 11:13:03.153488,462
2024-10-26 11:13:03.153774,480
2024-10-26 11:13:03.157630,487
2024-10-26 11:13:03.158251,477
2024-10-26 11:13:03.161156,479
2024-10-26 11:13:03.161304,480
2024-10-26 11:13:03.165352,491
2024-10-26 11:13:03.165576,508
2024-10-26 11:13:03.169364,518
2024-10-26 11:13:03.169576,527
2024-10-26 11:13:03.173548,508
2024-10-26 11:13:03.173772,527
2024-10-26 11:13:03.178029,531
2024-10-26 11:13:03.178320,496
2024-10-26 11:13:03.178514,512
2024-10-26 11:13:03.182583,534
2024-10-26 11:13:03.182989,535
2024-10-26 11:13:03.186237,540
2024-10-26 11:13:03.186522,524
2024-10-26 11:13:03.190391,532
2024-10-26 11:13:03.190675,550
2024-10-26 11:13:03.194540,563
2024-10-26 11:13:03.194834,564
2024-10-26 11:13:03.198509,541
2024-10-26 11:13:03.198816,524
2024-10-26 11:13:03.202658,514
2024-10-26 11:13:03.202968,510
2024-10-26 11:13:03.206736,504
2024-10-26 11:13:03.206940,516
2024-10-26 11:13:03.210852,519
2024-10-26 11:13:03.211140,511
2024-10-26 11:13:03.214915,465
2024-10-26 11:13:03.215199,465
2024-10-26 11:13:03.218957,493
2024-10-26 11:13:03.219249,490
2024-10-26 11:13:03.222488,517
2024-10-26 11:13:03.222971,529
2024-10-26 11:13:03.223189,521
2024-10-26 11:13:03.226750,525
2024-10-26 11:13:03.226974,513
2024-10-26 11:13:03.233823,515
2024-10-26 11:13:03.234058,526
2024-10-26 11:13:03.235043,523
2024-10-26 11:13:03.235225,530
2024-10-26 11:13:03.239009,546
2024-10-26 11:13:03.239181,551
2024-10-26 11:13:03.243377,534
2024-10-26 11:13:03.243655,518
2024-10-26 11:13:03.248486,518
2024-10-26 11:13:03.248778,513
2024-10-26 11:13:03.251447,512
2024-10-26 11:13:03.251736,508
2024-10-26 11:13:03.255476,515
2024-10-26 11:13:03.255680,514
2024-10-26 11:13:03.259579,541
2024-10-26 11:13:03.260026,550
2024-10-26 11:13:03.263558,537
2024-10-26 11:13:03.263733,527
2024-10-26 11:13:03.263862,519
2024-10-26 11:13:03.267769,512
2024-10-26 11:13:03.267997,531
2024-10-26 11:13:03.271895,529
2024-10-26 11:13:03.272120,517
2024-10-26 11:13:03.276034,519
2024-10-26 11:13:03.276305,526
2024-10-26 11:13:03.279973,517
2024-10-26 11:13:03.280122,527
2024-10-26 11:13:03.284099,548
2024-10-26 11:13:03.284346,535
2024-10-26 11:13:03.288261,514
2024-10-26 11:13:03.288486,502
2024-10-26 11:13:03.292442,509
2024-10-26 11:13:03.292721,512
2024-10-26 11:13:03.296489,502
2024-10-26 11:13:03.296696,507
2024-10-26 11:13:03.300638,510
2024-10-26 11:13:03.300940,506
2024-10-26 11:13:03.304683,498
2024-10-26 11:13:03.304876,497
2024-10-26 11:13:03.308596,519
2024-10-26 11:13:03.308868,510
2024-10-26 11:13:03.309251,493
2024-10-26 11:13:03.312834,471
2024-10-26 11:13:03.313066,458
2024-10-26 11:13:03.316932,443
2024-10-26 11:13:03.317157,425
2024-10-26 11:13:03.321070,446
2024-10-26 11:13:03.321293,466
2024-10-26 11:13:03.325115,463
2024-10-26 11:13:03.325293,436
2024-10-26 11:13:03.329199,444
2024-10-26 11:13:03.329428,451
2024-10-26 11:13:03.333297,435
2024-10-26 11:13:03.333525,448
2024-10-26 11:13:03.337516,452
2024-10-26 11:13:03.337808,462
2024-10-26 11:13:03.341543,465
2024-10-26 11:13:03.341773,471
2024-10-26 11:13:03.345623,484
2024-10-26 11:13:03.345850,474
2024-10-26 11:13:03.350123,490
2024-10-26 11:13:03.350412,502
2024-10-26 11:13:03.353677,512
2024-10-26 11:13:03.354074,496
2024-10-26 11:13:03.354298,488
2024-10-26 11:13:03.358480,505
2024-10-26 11:13:03.358767,509
2024-10-26 11:13:03.362632,506
2024-10-26 11:13:03.362919,497
2024-10-26 11:13:03.366542,494
2024-10-26 11:13:03.366826,494
2024-10-26 11:13:03.370247,492
2024-10-26 11:13:03.370548,487
2024-10-26 11:13:03.374938,514
2024-10-26 11:13:03.375252,514
2024-10-26 11:13:03.378822,506
2024-10-26 11:13:03.379107,518
2024-10-26 11:13:03.382898,502
2024-10-26 11:13:03.383209,513
2024-10-26 11:13:03.387210,523
2024-10-26 11:13:03.387496,518
2024-10-26 11:13:03.391109,511
2024-10-26 11:13:03.391419,492
2024-10-26 11:13:03.394801,485
2024-10-26 11:13:03.395014,501
2024-10-26 11:13:03.395139,526
2024-10-26 11:13:03.399627,549
2024-10-26 11:13:03.400011,563
2024-10-26 11:13:03.403402,546
2024-10-26 11:13:03.403687,554
2024-10-26 11:13:03.407737,559
2024-10-26 11:13:03.408027,540
2024-10-26 11:13:03.411106,542
2024-10-26 11:13:03.411336,546
2024-10-26 11:13:03.415227,540
2024-10-26 11:13:03.415410,547
2024-10-26 11:13:03.419447,557
2024-10-26 11:13:03.419680,569
2024-10-26 11:13:03.423437,565
2024-10-26 11:13:03.423660,560
2024-10-26 11:13:03.427431,544
2024-10-26 11:13:03.427582,528
2024-10-26 11:13:03.431684,556
2024-10-26 11:13:03.431913,582
2024-10-26 11:13:03.435680,568
2024-10-26 11:13:03.435905,551
2024-10-26 11:13:03.439656,543
2024-10-26 11:13:03.439918,521
2024-10-26 11:13:03.440312,539
2024-10-26 11:13:03.444361,548
2024-10-26 11:13:03.444647,541
2024-10-26 11:13:03.448644,529
2024-10-26 11:13:03.448935,532
2024-10-26 11:13:03.452654,523
2024-10-26 11:13:03.452941,533
2024-10-26 11:13:03.456838,536
2024-10-26 11:13:03.457127,527
2024-10-26 11:13:03.460740,522
2024-10-26 11:13:03.461027,528
2024-10-26 11:13:03.464774,525
2024-10-26 11:13:03.465057,519
2024-10-26 11:13:03.468529,493
2024-10-26 11:13:03.468818,486
2024-10-26 11:13:03.473091,493
2024-10-26 11:13:03.473378,523
2024-10-26 11:13:03.476961,526
2024-10-26 11:13:03.477290,530
